,Rank,Cocoa Percentage
1578,3,70%
1579,3,70%
1580,2.75,68%
1581,3.25,72%
1582,3.5,84%
1583,3.5,70%
1584,2.5,65%
1585,2.5,70%
1586,2.75,75%
1587,2.75,67%
1588,3.25,78%
1589,2.5,61%
1590,3,71%
1591,2.75,70%
1592,3,60%
1593,2.75,70%
1594,3.25,70%
1595,3.25,88%
1596,3.25,70%
1597,3.75,70%
1598,3.25,70%
1599,3.5,70%
1600,3.5,70%
1601,3.75,70%
1602,3.5,70%
1603,3.5,70%
1604,3.25,70%
1605,3.25,70%
1606,3.25,70%
1607,3.75,70%
1608,3,70%
1609,2.75,70%
1610,2.75,70%
1611,2.5,70%
1612,3,70%
1613,3,70%
1614,3.25,62%
1615,3.25,60%
1616,2.75,77%
1617,3.25,70%
1618,3,68%
1619,3.25,87%
1620,2.75,75%
1621,3,70%
1622,2,62%
1623,3.25,99%
1624,2.75,60%
1625,3,68%
1626,2.5,70%
1627,2.5,70%
1628,2.75,70%
1629,2.5,70%
1630,2.75,70%
1631,3,70%
1632,3,70%
1633,3.5,70%
1634,3.25,70%
1635,2,70%
1636,3.25,70%
1637,2.75,70%
1638,3,70%
1639,3.25,70%
1640,2.75,70%
1641,3,80%
1642,3.25,67%
1643,3.5,70%
1644,2.75,70%
1645,3.75,70%
1646,3.75,70%
1647,3.25,70%
1648,3.5,70%
1649,3.75,70%
1650,3.25,77%
1651,3.75,67%
1652,3.75,73%
1653,3,70%
1654,3.25,65%
1655,3.5,65%
1656,2.5,75%
1657,3,84%
1658,2,91%
1659,3,75%
1660,3.25,70%
1661,3.75,72%
1662,3.25,81%
1663,4,70%
1664,3,77%
1665,2.75,72%
1666,3,74%
1667,3,72%
1668,3.5,72%
1669,2.75,75%
1670,3.5,75%
1671,3.5,75%
1672,3.25,68%
1673,2.5,75%
1674,2.75,73%
1675,3,60%
1676,3.75,63%
1677,2.75,74%
1678,3,70%
1679,3,72%
1680,3.25,72%
1681,3.25,65%
1682,4,63%
1683,3.5,70%
1684,3.5,64%
1685,4,69%
1686,3.25,56%
1687,4,64%
1688,3.75,64%
1689,3.75,66%
1690,3.5,68%
1691,3,72%
1692,3.75,65%
1693,4,64%
1694,1.5,85%
1695,2.5,85%
1696,2.75,71%
1697,3.25,64%
1698,3,66%
1699,4,70%
1700,2.5,64%
1701,3,64%
1702,3.5,64%
1703,2.5,72%
1704,2.75,65%
1705,2.75,72%
1706,2.75,76%
1707,2.75,80%
1708,3,70%
1709,3,68%
1710,3.25,64%
1711,3.25,70%
1712,3.25,70%
1713,3.25,90%
1714,3.5,75%
1715,3.5,75%
1716,3.75,90%
1717,3.25,70%
1718,3.5,70%
1719,3,75%
1720,2,100%
1721,2,90%
1722,3,75%
1723,3,65%
1724,2.75,77%
1725,3,77%
1726,3,77%
1727,3.25,77%
1728,2.75,77%
1729,2.5,70%
1730,2.5,70%
1731,3,70%
1732,3.5,70%
1733,3.5,70%
1734,2.5,72%
1735,2.5,75%
1736,2.75,89%
1737,3.25,75%
1738,2.75,75%
1739,4,70%
1740,3,88%
1741,2.25,100%
1742,3,71%
1743,3.5,72%
1744,3.75,69%
1745,3,70%
1746,3.25,72%
1747,3,74%
1748,3.5,76%
1749,3.75,75%
1750,3,70%
1751,3.25,70%
1752,3.5,70%
1753,2.5,70%
1754,3,70%
1755,3.25,70%
1756,4,70%
1757,3.5,70%
1758,3,66%
1759,2.75,70%
1760,2.5,70%
1761,3,70%
1762,3.25,70%
1763,3.25,70%
1764,3.25,70%
1765,3.5,70%
1766,3,60%
1767,3.5,70%
1768,2.75,70%
1769,2.75,85%
1770,3,85%
1771,3.5,70%
1772,3.5,78%
1773,3.75,78%
1774,3.25,65%
1775,3.5,68%
1776,3.5,66%
1777,3.75,72%
1778,2.75,80%
1779,3.5,72%
1780,3.5,65%
1781,3,70%
1782,3.5,70%
1783,3.75,62%
1784,3,75%
1785,3,75%
1786,3.25,90%
1787,3.75,70%
1788,3.25,68%
1789,3.5,58%
1790,3.75,70%
1791,3,65%
1792,3.5,65%
1793,3.25,62%
1794,3,65%
